i_e_op,V_cell_op
2.94E-05,1.508161878
2.95E-05,1.508171277
2.95E-05,1.508180675
2.95E-05,1.508190074
2.96E-05,1.508199472
2.96E-05,1.508208871
2.97E-05,1.50821827
2.97E-05,1.508227668
2.97E-05,1.508237067
2.98E-05,1.508246465
2.98E-05,1.508255864
2.99E-05,1.508265263
2.99E-05,1.508274661
2.99E-05,1.50828406
3.00E-05,1.508293458
3.00E-05,1.508302857
3.01E-05,1.508312256
3.01E-05,1.508321654
3.01E-05,1.508331053
3.02E-05,1.508340452
3.02E-05,1.50834985
3.03E-05,1.508359249
3.03E-05,1.508368647
3.03E-05,1.508378046
3.04E-05,1.508387445
3.04E-05,1.508396843
3.05E-05,1.508406242
3.05E-05,1.508415641
3.05E-05,1.508425039
3.06E-05,1.508434438
3.06E-05,1.508443836
3.07E-05,1.508453235
3.07E-05,1.508462634
3.07E-05,1.508472032
3.08E-05,1.508481431
3.08E-05,1.50849083
3.09E-05,1.508500228
3.09E-05,1.508509627
3.10E-05,1.508519026
3.10E-05,1.508528424
3.10E-05,1.508537823
3.11E-05,1.508547222
3.11E-05,1.50855662
3.12E-05,1.508566019
3.12E-05,1.508575418
3.12E-05,1.508584816
3.13E-05,1.508594215
3.13E-05,1.508603614
3.14E-05,1.508613012
3.14E-05,1.508622411
3.15E-05,1.50863181
3.15E-05,1.508641209
3.15E-05,1.508650607
3.16E-05,1.508660006
3.16E-05,1.508669405
3.17E-05,1.508678803
3.17E-05,1.508688202
3.18E-05,1.508697601
3.18E-05,1.508706999
3.18E-05,1.508716398
3.19E-05,1.508725797
3.19E-05,1.508735196
3.20E-05,1.508744594
3.20E-05,1.508753993
3.20E-05,1.508763392
3.21E-05,1.50877279
3.21E-05,1.508782189
3.22E-05,1.508791588
3.22E-05,1.508800987
3.23E-05,1.508810385
3.23E-05,1.508819784
3.23E-05,1.508829183
3.24E-05,1.508838582
3.24E-05,1.50884798
3.25E-05,1.508857379
3.25E-05,1.508866778
3.26E-05,1.508876177
3.26E-05,1.508885575
3.27E-05,1.508894974
3.27E-05,1.508904373
3.27E-05,1.508913772
3.28E-05,1.50892317
3.28E-05,1.508932569
3.29E-05,1.508941968
3.29E-05,1.508951367
3.30E-05,1.508960765
3.30E-05,1.508970164
3.30E-05,1.508979563
3.31E-05,1.508988962
3.31E-05,1.508998361
3.32E-05,1.509007759
3.32E-05,1.509017158
3.33E-05,1.509026557
3.33E-05,1.509035956
3.34E-05,1.509045354
3.34E-05,1.509054753
3.34E-05,1.509064152
3.35E-05,1.509073551
3.35E-05,1.50908295
3.36E-05,1.509092349
3.36E-05,1.509101747
3.37E-05,1.509111146
3.37E-05,1.509120545
3.38E-05,1.509129944
