i_e_op,V_cell_op
3.58E-05,1.509549581
3.59E-05,1.509558988
3.59E-05,1.509568395
3.59E-05,1.509577803
3.60E-05,1.50958721
3.60E-05,1.509596617
3.61E-05,1.509606024
3.61E-05,1.509615431
3.62E-05,1.509624838
3.62E-05,1.509634245
3.63E-05,1.509643653
3.63E-05,1.50965306
3.64E-05,1.509662467
3.64E-05,1.509671874
3.65E-05,1.509681281
3.65E-05,1.509690689
3.66E-05,1.509700096
3.66E-05,1.509709503
3.67E-05,1.509718911
3.67E-05,1.509728318
3.68E-05,1.509737725
3.68E-05,1.509747133
3.69E-05,1.50975654
3.69E-05,1.509765947
3.70E-05,1.509775355
3.70E-05,1.509784762
3.71E-05,1.50979417
3.71E-05,1.509803577
3.72E-05,1.509812984
3.72E-05,1.509822392
3.73E-05,1.509831799
3.73E-05,1.509841207
3.74E-05,1.509850614
3.74E-05,1.509860022
3.75E-05,1.509869429
3.75E-05,1.509878837
3.76E-05,1.509888244
3.76E-05,1.509897652
3.77E-05,1.50990706
3.77E-05,1.509916467
3.78E-05,1.509925875
3.78E-05,1.509935282
3.79E-05,1.50994469
3.79E-05,1.509954098
3.80E-05,1.509963505
3.80E-05,1.509972913
3.81E-05,1.509982321
3.81E-05,1.509991728
3.82E-05,1.510001136
3.82E-05,1.510010544
3.83E-05,1.510019952
3.83E-05,1.510029359
3.84E-05,1.510038767
3.84E-05,1.510048175
3.85E-05,1.510057583
3.85E-05,1.510066991
3.86E-05,1.510076398
3.86E-05,1.510085806
3.87E-05,1.510095214
3.87E-05,1.510104622
3.88E-05,1.51011403
3.88E-05,1.510123438
3.89E-05,1.510132846
3.89E-05,1.510142254
3.90E-05,1.510151662
3.91E-05,1.51016107
3.91E-05,1.510170478
3.92E-05,1.510179886
3.92E-05,1.510189294
3.93E-05,1.510198702
3.93E-05,1.51020811
3.94E-05,1.510217518
3.94E-05,1.510226926
3.95E-05,1.510236334
3.95E-05,1.510245742
3.96E-05,1.51025515
3.96E-05,1.510264558
3.97E-05,1.510273967
3.97E-05,1.510283375
3.98E-05,1.510292783
3.98E-05,1.510302191
3.99E-05,1.510311599
4.00E-05,1.510321008
4.00E-05,1.510330416
4.01E-05,1.510339824
4.01E-05,1.510349232
